EEDC, 3.465736
TACL, 4.158883
NDVI, 4.290459
ASLT, 0.000000
VENH, 4.595120
IFEL, 4.382027
ULFP, 0.693147
FEWQ, 0.000000
EWAE, 0.000000
VEEY, 1.098612
BCWA, 0.000000
ECIS, 5.849325
RVAL, 4.330733
UGOR, 0.000000
FALK, 0.693147
GPAW, 0.000000
TSAZ, 0.000000
KADH, 0.000000
FSUK, 0.000000
EIIM, 0.000000
INSM, 3.583519
SOGR, 3.258097
DUGU, 0.693147
VAAD, 0.000000
GOAP, 1.098612
INOD, 2.079442
KEHU, 0.000000
UYSW, 0.000000
TOBS, 3.496508
IEEX, 0.693147
HILG, 1.098612
KNAT, 0.693147
TAFS, 0.000000
HDWE, 0.000000
DBAC, 5.164786
ROWU, 2.484907
NDJE, 3.555348
UALA, 4.820282
UTIZ, 0.000000
MSGA, 0.000000
KNLH, 0.000000
DNIB, 0.000000
DCLA, 4.682131
HBYC, 0.000000
IGBA, 2.564949
LLUG, 0.000000
NERI, 4.465908
OFLY, 2.708050
YFFA, 0.000000
UYRU, 0.000000
TUSO, 3.737670
OESH, 3.912023
ALDM, 1.945910
TUPL, 0.000000
BGRO, 2.484907
ISKL, 1.791759
FFYB, 0.000000
KRUM, 1.098612
YKAU, 0.000000
IWHY, 0.000000
OODP, 4.189655
ROMF, 4.382027
PHTO, 1.386294
VALT, 3.496508
FMRO, 0.000000
ZEPL, 0.000000
GHTF, 5.560682
ORLY, 2.772589
LEBM, 0.000000
WEDQ, 0.693147
FNEU, 2.197225
KWEH, 1.098612
ETIU, 1.386294
IGPI, 1.791759
NTYS, 3.526361
LEVE, 6.308098
FFEA, 3.218876
RMUN, 2.772589
CIDP, 0.693147
SOHT, 1.098612
GEQU, 3.737670
ABUF, 1.609438
VCAL, 0.693147
MAUR, 2.564949
WIAM, 1.791759
RGTE, 1.386294
RAHS, 2.079442
UCTR, 1.791759
SISY, 1.945910
UGOM, 0.000000
ODDG, 0.000000
KBUT, 4.158883
RSKI, 4.110874
JILT, 0.693147
HTYO, 3.367296
DMYN, 1.098612
GECA, 3.583519
AKOU, 0.693147
TCAT, 3.610918
YIFA, 2.197225
TAWA, 4.718499
TYKE, 0.693147
OYPH, 1.098612
WLSB, 0.000000
LWIC, 0.000000
IYEA, 0.693147
RSBA, 3.218876
DOLP, 2.890372
HOIW, 0.000000
LDLY, 4.077537
GOTG, 0.000000
NCAB, 0.693147
REYI, 2.079442
PBRU, 1.098612
PIGH, 0.693147
ODED, 3.912023
ATNI, 4.624973
SMTO, 2.833213
DBUN, 2.302585
LMUK, 0.000000
REXQ, 1.098612
GSAH, 0.000000
ESTT, 5.652489
THSF, 3.218876
WONS, 1.609438
ASHH, 2.079442
NIMP, 5.231109
EKOU, 2.197225
OUTV, 2.484907
SLTU, 0.000000
SCIC, 1.791759
RUWE, 0.000000
SPIC, 4.890349
DRCL, 1.791759
WYMA, 0.000000
HECC, 0.693147
OCYR, 0.000000
EPHU, 0.000000
EJGO, 0.000000
NISK, 1.098612
FGOI, 2.833213
DALG, 1.386294
